,GEKS,ons_item_no,i,period
398,90.4143999094,212006.0,21.0,201603.0
399,93.7615865998,212006.0,22.0,201604.0
400,89.8765740872,212006.0,23.0,201605.0
401,93.485941886,212006.0,24.0,201606.0
402,88.4041138511,212006.0,25.0,201607.0
403,90.1832562714,212006.0,26.0,201608.0
404,87.4126241734,212006.0,27.0,201610.0
405,86.5634381344,212006.0,28.0,201611.0
406,100.0,212011.0,0.0,201406.0
407,100.933353289,212011.0,1.0,201407.0
408,99.8373695279,212011.0,2.0,201408.0
409,99.0039759022,212011.0,3.0,201409.0
410,97.6429351549,212011.0,4.0,201410.0
411,96.3358921715,212011.0,5.0,201411.0
412,95.1543659378,212011.0,6.0,201412.0
413,90.6118295149,212011.0,7.0,201501.0
414,90.8132798412,212011.0,8.0,201502.0
415,94.9494763879,212011.0,9.0,201503.0
416,97.6801994712,212011.0,10.0,201504.0
417,99.9475830906,212011.0,11.0,201505.0
418,95.8123791076,212011.0,12.0,201506.0
419,96.0862339223,212011.0,13.0,201507.0
420,97.6463649701,212011.0,14.0,201508.0
421,92.4667542376,212011.0,15.0,201509.0
422,98.557367571,212011.0,16.0,201510.0
423,97.6697044313,212011.0,17.0,201511.0
424,95.7390810089,212011.0,18.0,201512.0
425,95.7069943452,212011.0,19.0,201601.0
426,97.4451975674,212011.0,20.0,201602.0
427,94.6679183947,212011.0,21.0,201603.0
428,92.5672122718,212011.0,22.0,201604.0
429,95.2596651387,212011.0,23.0,201605.0
430,87.8278985626,212011.0,24.0,201606.0
431,91.0002076493,212011.0,25.0,201607.0
432,88.8501346029,212011.0,26.0,201608.0
433,88.5082579381,212011.0,27.0,201610.0
434,86.7127666053,212011.0,28.0,201611.0
435,100.0,212016.0,0.0,201406.0
436,98.5819727751,212016.0,1.0,201407.0
437,98.7203628956,212016.0,2.0,201408.0
438,97.7699146291,212016.0,3.0,201409.0
439,96.1319046909,212016.0,4.0,201410.0
440,96.3413343286,212016.0,5.0,201411.0
441,96.7730957343,212016.0,6.0,201412.0
442,96.3016187308,212016.0,7.0,201501.0
443,96.4593145999,212016.0,8.0,201502.0
444,94.4584012187,212016.0,9.0,201503.0
445,96.1958705104,212016.0,10.0,201504.0
446,94.9550602537,212016.0,11.0,201505.0
447,95.6448459699,212016.0,12.0,201506.0
448,96.7058461683,212016.0,13.0,201507.0
449,95.4381671901,212016.0,14.0,201508.0
450,91.8732206891,212016.0,15.0,201509.0
451,92.9501374108,212016.0,16.0,201510.0
452,94.7626900625,212016.0,17.0,201511.0
453,97.1318048073,212016.0,18.0,201512.0
454,94.5839131983,212016.0,19.0,201601.0
455,91.9475644878,212016.0,20.0,201602.0
456,90.5057431662,212016.0,21.0,201603.0
457,90.4138749236,212016.0,22.0,201604.0
458,92.7074772451,212016.0,23.0,201605.0
459,93.6740518756,212016.0,24.0,201606.0
460,93.3538213928,212016.0,25.0,201607.0
461,88.5897149931,212016.0,26.0,201608.0
462,85.170149439,212016.0,27.0,201610.0
463,85.1365790724,212016.0,28.0,201611.0
464,100.0,212017.0,0.0,201406.0
465,98.9028944259,212017.0,1.0,201407.0
466,94.4492200226,212017.0,2.0,201408.0
467,96.7513752892,212017.0,3.0,201409.0
468,92.5816100073,212017.0,4.0,201410.0
469,93.2573729247,212017.0,5.0,201411.0
470,95.6186322459,212017.0,6.0,201412.0
471,96.424872475,212017.0,7.0,201501.0
472,94.7309700743,212017.0,8.0,201502.0
473,92.2050474305,212017.0,9.0,201503.0
474,91.7393764,212017.0,10.0,201504.0
475,91.9143423706,212017.0,11.0,201505.0
476,90.2413060571,212017.0,12.0,201506.0
477,92.8978009979,212017.0,13.0,201507.0
478,92.1219198516,212017.0,14.0,201508.0
479,90.1715043278,212017.0,15.0,201509.0
480,85.7604054834,212017.0,16.0,201510.0
481,90.6575208501,212017.0,17.0,201511.0
482,85.2749716129,212017.0,18.0,201512.0
483,86.1521434142,212017.0,19.0,201601.0
484,85.9777108164,212017.0,20.0,201602.0
485,88.7275967613,212017.0,21.0,201603.0
486,86.8743653426,212017.0,22.0,201604.0
487,85.0540648976,212017.0,23.0,201605.0
488,84.755389129,212017.0,24.0,201606.0
489,89.0707217602,212017.0,25.0,201607.0
490,92.2202015523,212017.0,26.0,201608.0
491,85.0877872136,212017.0,27.0,201610.0
492,82.0579060827,212017.0,28.0,201611.0
493,100.0,212319.0,0.0,201406.0
494,100.0,212319.0,1.0,201407.0
495,98.0668086134,212319.0,2.0,201408.0
496,97.2328321372,212319.0,3.0,201409.0
497,98.1466070479,212319.0,4.0,201410.0
498,96.9314541453,212319.0,5.0,201411.0
499,91.3522414776,212319.0,6.0,201412.0
500,87.1375077156,212319.0,7.0,201501.0
501,84.2465692753,212319.0,8.0,201502.0
502,82.1414834876,212319.0,9.0,201503.0
503,84.281632479,212319.0,10.0,201504.0
504,85.3728604575,212319.0,11.0,201505.0
505,85.996365352,212319.0,12.0,201506.0
506,88.6698762054,212319.0,13.0,201507.0
507,84.5454627045,212319.0,14.0,201508.0
508,88.8784766136,212319.0,15.0,201509.0
509,88.0463000057,212319.0,16.0,201510.0
510,88.8784766136,212319.0,17.0,201511.0
511,87.6446611111,212319.0,18.0,201512.0
512,86.7703282293,212319.0,19.0,201601.0
513,88.8784766136,212319.0,20.0,201602.0
514,85.6358833776,212319.0,21.0,201603.0
515,77.0932253231,212319.0,22.0,201604.0
516,,212319.0,23.0,201605.0
517,,212319.0,24.0,201606.0
518,,212319.0,25.0,201607.0
519,,212319.0,26.0,201608.0
520,,212319.0,27.0,201610.0
521,,212319.0,28.0,201611.0
522,100.0,212360.0,0.0,201406.0
523,97.4282880189,212360.0,1.0,201407.0
524,97.7312558102,212360.0,2.0,201408.0
525,98.2929275091,212360.0,3.0,201409.0
526,97.5794101381,212360.0,4.0,201410.0
527,94.3184131304,212360.0,5.0,201411.0
528,93.4090388099,212360.0,6.0,201412.0
529,92.9086288454,212360.0,7.0,201501.0
530,94.8277543114,212360.0,8.0,201502.0
531,94.6656660542,212360.0,9.0,201503.0
532,95.0138684994,212360.0,10.0,201504.0
533,95.4866155419,212360.0,11.0,201505.0
534,97.226681449,212360.0,12.0,201506.0
535,97.9778636644,212360.0,13.0,201507.0
536,97.7953929847,212360.0,14.0,201508.0
537,94.9950119151,212360.0,15.0,201509.0
538,96.6713673103,212360.0,16.0,201510.0
539,93.9822567519,212360.0,17.0,201511.0
540,93.742793497,212360.0,18.0,201512.0
541,94.5972105499,212360.0,19.0,201601.0
542,95.8740881759,212360.0,20.0,201602.0
543,91.6196154621,212360.0,21.0,201603.0
544,93.5560278261,212360.0,22.0,201604.0
545,91.2523587563,212360.0,23.0,201605.0
546,93.2450502134,212360.0,24.0,201606.0
547,93.3463702004,212360.0,25.0,201607.0
548,93.2767802119,212360.0,26.0,201608.0
549,88.7255718208,212360.0,27.0,201610.0
550,88.9513391034,212360.0,28.0,201611.0
551,100.0,212515.0,0.0,201406.0
552,100.342537246,212515.0,1.0,201407.0
553,101.240475215,212515.0,2.0,201408.0
554,101.405342609,212515.0,3.0,201409.0
555,100.614048246,212515.0,4.0,201410.0
556,98.0194303356,212515.0,5.0,201411.0
557,97.1119020735,212515.0,6.0,201412.0
558,91.9134930021,212515.0,7.0,201501.0
559,97.9744326634,212515.0,8.0,201502.0
560,97.7009960166,212515.0,9.0,201503.0
561,96.079488739,212515.0,10.0,201504.0
562,94.9681182328,212515.0,11.0,201505.0
563,95.0714738153,212515.0,12.0,201506.0
564,95.3197685752,212515.0,13.0,201507.0
565,94.1530113849,212515.0,14.0,201508.0
566,95.4819168601,212515.0,15.0,201509.0
567,95.5035486301,212515.0,16.0,201510.0
568,94.6574650238,212515.0,17.0,201511.0
569,94.1891719927,212515.0,18.0,201512.0
570,94.8446087771,212515.0,19.0,201601.0
571,95.27653515,212515.0,20.0,201602.0
572,94.2051430526,212515.0,21.0,201603.0
573,91.4226998067,212515.0,22.0,201604.0
574,90.4414024372,212515.0,23.0,201605.0
575,91.7920814497,212515.0,24.0,201606.0
576,92.7134868885,212515.0,25.0,201607.0
577,93.8516230554,212515.0,26.0,201608.0
578,92.7785988446,212515.0,27.0,201610.0
579,91.9963851381,212515.0,28.0,201611.0
580,100.0,212519.0,0.0,201406.0
581,100.804288007,212519.0,1.0,201407.0
582,100.714376198,212519.0,2.0,201408.0
583,98.9499193934,212519.0,3.0,201409.0
584,100.655528088,212519.0,4.0,201410.0
585,102.254076025,212519.0,5.0,201411.0
586,101.143234139,212519.0,6.0,201412.0
587,101.334232219,212519.0,7.0,201501.0
588,97.7520517597,212519.0,8.0,201502.0
589,96.8025189988,212519.0,9.0,201503.0
590,96.7968044512,212519.0,10.0,201504.0
591,97.3954064535,212519.0,11.0,201505.0
592,96.9562518533,212519.0,12.0,201506.0
593,97.8559272144,212519.0,13.0,201507.0
594,97.1849661172,212519.0,14.0,201508.0
595,96.7170632611,212519.0,15.0,201509.0
596,96.6571615405,212519.0,16.0,201510.0
597,94.3596531434,212519.0,17.0,201511.0
598,93.711511876,212519.0,18.0,201512.0
599,93.8404237467,212519.0,19.0,201601.0
600,93.2921002634,212519.0,20.0,201602.0
601,91.1320235186,212519.0,21.0,201603.0
602,86.9750249324,212519.0,22.0,201604.0
603,86.8588592655,212519.0,23.0,201605.0
604,86.9058878688,212519.0,24.0,201606.0
605,89.6776043202,212519.0,25.0,201607.0
606,88.5222684622,212519.0,26.0,201608.0
607,87.3605930231,212519.0,27.0,201610.0
