,GEKS,ons_item_no,i,period
511,98.4803383046,210214.0,55.0,201526.0
512,96.7387129247,210214.0,56.0,201527.0
513,95.5173440245,210214.0,57.0,201528.0
514,96.0419388135,210214.0,58.0,201529.0
515,96.8308927818,210214.0,59.0,201530.0
516,98.598559445,210214.0,60.0,201531.0
517,96.3678643019,210214.0,61.0,201532.0
518,97.6670109102,210214.0,62.0,201533.0
519,97.9297310875,210214.0,63.0,201534.0
520,96.8163163285,210214.0,64.0,201535.0
521,96.4147345259,210214.0,65.0,201536.0
522,94.3753380994,210214.0,66.0,201537.0
523,93.8149362815,210214.0,67.0,201538.0
524,94.8247914593,210214.0,68.0,201539.0
525,96.7512717958,210214.0,69.0,201540.0
526,97.3441177299,210214.0,70.0,201541.0
527,97.6228084777,210214.0,71.0,201542.0
528,97.5375382961,210214.0,72.0,201544.0
529,97.8374447606,210214.0,73.0,201545.0
530,95.9053895913,210214.0,74.0,201546.0
531,93.1847867905,210214.0,75.0,201547.0
532,93.333951448,210214.0,76.0,201548.0
533,94.9793702015,210214.0,77.0,201549.0
534,95.5761130647,210214.0,78.0,201550.0
535,95.5537573329,210214.0,79.0,201551.0
536,95.3825532569,210214.0,80.0,201552.0
537,91.5282653563,210214.0,81.0,201601.0
538,90.9039871984,210214.0,82.0,201602.0
539,92.9736164235,210214.0,83.0,201603.0
540,93.3574311164,210214.0,84.0,201604.0
541,93.2701481537,210214.0,85.0,201605.0
542,93.4685660077,210214.0,86.0,201606.0
543,92.9228931187,210214.0,87.0,201607.0
544,96.5353964229,210214.0,88.0,201608.0
545,97.6320593999,210214.0,89.0,201609.0
546,97.6355581775,210214.0,90.0,201610.0
547,96.092510286,210214.0,91.0,201611.0
548,94.0098083533,210214.0,92.0,201612.0
549,93.9883080368,210214.0,93.0,201613.0
550,94.9483117856,210214.0,94.0,201614.0
551,95.1417317267,210214.0,95.0,201615.0
552,95.3392575489,210214.0,96.0,201616.0
553,96.6644636617,210214.0,97.0,201617.0
554,96.9073432292,210214.0,98.0,201618.0
555,92.9029945664,210214.0,99.0,201619.0
556,93.6333785066,210214.0,100.0,201620.0
557,94.4142903983,210214.0,101.0,201621.0
558,94.4687480223,210214.0,102.0,201622.0
559,94.5662002336,210214.0,103.0,201623.0
560,94.5761654868,210214.0,104.0,201624.0
561,94.901006761,210214.0,105.0,201625.0
562,93.4165885038,210214.0,106.0,201626.0
563,91.9454685476,210214.0,107.0,201627.0
564,91.1594528316,210214.0,108.0,201628.0
565,92.023102,210214.0,109.0,201629.0
566,92.9446125424,210214.0,110.0,201630.0
567,93.3988020101,210214.0,111.0,201631.0
568,93.4570305793,210214.0,112.0,201632.0
569,90.1469615332,210214.0,113.0,201644.0
570,100.0,210302.0,0.0,201423.0
571,100.074078169,210302.0,1.0,201424.0
572,100.70286025,210302.0,2.0,201425.0
573,101.023584618,210302.0,3.0,201426.0
574,101.232055543,210302.0,4.0,201427.0
575,101.391619569,210302.0,5.0,201428.0
576,101.274015155,210302.0,6.0,201429.0
577,101.040148351,210302.0,7.0,201430.0
578,100.87613852,210302.0,8.0,201431.0
579,101.009220146,210302.0,9.0,201432.0
580,101.284341967,210302.0,10.0,201433.0
581,101.385364473,210302.0,11.0,201434.0
582,101.490758682,210302.0,12.0,201435.0
583,101.536491644,210302.0,13.0,201436.0
584,101.527747684,210302.0,14.0,201437.0
585,101.618158982,210302.0,15.0,201438.0
586,101.635927719,210302.0,16.0,201439.0
587,101.636567366,210302.0,17.0,201440.0
588,101.637417804,210302.0,18.0,201441.0
589,101.396332103,210302.0,19.0,201442.0
590,101.079280744,210302.0,20.0,201443.0
591,101.108072427,210302.0,21.0,201444.0
592,101.432080958,210302.0,22.0,201445.0
593,101.722841438,210302.0,23.0,201446.0
594,102.466521705,210302.0,24.0,201447.0
595,102.471662702,210302.0,25.0,201448.0
596,101.732943794,210302.0,26.0,201449.0
597,102.071938468,210302.0,27.0,201450.0
598,101.970879256,210302.0,28.0,201451.0
599,102.479369362,210302.0,29.0,201452.0
600,103.148691649,210302.0,30.0,201501.0
601,103.242858953,210302.0,31.0,201502.0
602,102.502165141,210302.0,32.0,201503.0
603,102.132689103,210302.0,33.0,201504.0
604,102.146642138,210302.0,34.0,201505.0
605,102.455550989,210302.0,35.0,201506.0
606,102.888222542,210302.0,36.0,201507.0
607,102.911912331,210302.0,37.0,201508.0
608,102.788422558,210302.0,38.0,201509.0
609,102.787642217,210302.0,39.0,201510.0
610,102.945345856,210302.0,40.0,201511.0
611,102.495576923,210302.0,41.0,201512.0
