,index,ons_name,type
75,0.0,"dry spaghetti or pasta, 500g",CLIP
76,0.0,"dry spaghetti or pasta, 500g",CLIP
77,0.0,"dry spaghetti or pasta, 500g",CLIP
78,0.0,"dry spaghetti or pasta, 500g",CLIP
79,0.0,"dry spaghetti or pasta, 500g",CLIP
80,0.0,"fresh veg, onions, per kg",Jevons
81,0.0,"fresh veg, onions, per kg",Jevons
82,0.0,"fresh veg, onions, per kg",Jevons
83,0.0,"fresh veg, onions, per kg",Jevons
84,0.0,"fresh veg, onions, per kg",Jevons
85,0.0,"fresh veg, onions, per kg",Jevons
86,0.0,"fresh veg, onions, per kg",Jevons
87,0.0,"fresh veg, onions, per kg",Jevons
88,0.0,"fresh veg, tomatoes, per kg",CLIP
89,0.0,"fresh veg, tomatoes, per kg",CLIP
90,0.0,"fresh veg, tomatoes, per kg",CLIP
91,0.0,"fresh veg, tomatoes, per kg",CLIP
92,0.0,"fresh veg, tomatoes, per kg",CLIP
93,0.0,"fresh veg, tomatoes, per kg",CLIP
94,0.0,"fresh veg, tomatoes, per kg",CLIP
95,0.0,"fresh veg, tomatoes, per kg",CLIP
96,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
97,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
98,0.0,"fresh/chilled orange juice, eg. tropicana",CLIP
